Category: All categories

Week,fake news: (Worldwide)
2012-05-13,3
2012-05-20,4
2012-05-27,4
2012-06-03,4
2012-06-10,3
2012-06-17,4
2012-06-24,3
2012-07-01,4
2012-07-08,4
2012-07-15,4
2012-07-22,4
2012-07-29,4
2012-08-05,4
2012-08-12,4
2012-08-19,4
2012-08-26,4
2012-09-02,4
2012-09-09,4
2012-09-16,4
2012-09-23,4
2012-09-30,5
2012-10-07,4
2012-10-14,4
2012-10-21,4
2012-10-28,5
2012-11-04,4
2012-11-11,4
2012-11-18,4
2012-11-25,4
2012-12-02,4
2012-12-09,5
2012-12-16,6
2012-12-23,4
2012-12-30,4
2013-01-06,4
2013-01-13,6
2013-01-20,5
2013-01-27,4
2013-02-03,4
2013-02-10,5
2013-02-17,4
2013-02-24,4
2013-03-03,5
2013-03-10,4
2013-03-17,5
2013-03-24,4
2013-03-31,5
2013-04-07,3
2013-04-14,6
2013-04-21,5
2013-04-28,4
2013-05-05,5
2013-05-12,5
2013-05-19,5
2013-05-26,4
2013-06-02,4
2013-06-09,5
2013-06-16,4
2013-06-23,5
2013-06-30,4
2013-07-07,5
2013-07-14,12
2013-07-21,5
2013-07-28,5
2013-08-04,5
2013-08-11,4
2013-08-18,5
2013-08-25,5
2013-09-01,6
2013-09-08,5
2013-09-15,5
2013-09-22,4
2013-09-29,5
2013-10-06,6
2013-10-13,5
2013-10-20,5
2013-10-27,5
2013-11-03,5
2013-11-10,4
2013-11-17,4
2013-11-24,5
2013-12-01,6
2013-12-08,7
2013-12-15,5
2013-12-22,4
2013-12-29,6
2014-01-05,6
2014-01-12,5
2014-01-19,6
2014-01-26,6
2014-02-02,6
2014-02-09,5
2014-02-16,5
2014-02-23,5
2014-03-02,7
2014-03-09,6
2014-03-16,6
2014-03-23,5
2014-03-30,7
2014-04-06,5
2014-04-13,5
2014-04-20,5
2014-04-27,5
2014-05-04,4
2014-05-11,5
2014-05-18,5
2014-05-25,6
2014-06-01,6
2014-06-08,5
2014-06-15,5
2014-06-22,6
2014-06-29,5
2014-07-06,6
2014-07-13,6
2014-07-20,6
2014-07-27,7
2014-08-03,6
2014-08-10,8
2014-08-17,7
2014-08-24,6
2014-08-31,7
2014-09-07,6
2014-09-14,7
2014-09-21,6
2014-09-28,7
2014-10-05,8
2014-10-12,7
2014-10-19,7
2014-10-26,7
2014-11-02,6
2014-11-09,6
2014-11-16,6
2014-11-23,6
2014-11-30,6
2014-12-07,6
2014-12-14,6
2014-12-21,5
2014-12-28,7
2015-01-04,6
2015-01-11,6
2015-01-18,6
2015-01-25,5
2015-02-01,6
2015-02-08,5
2015-02-15,5
2015-02-22,6
2015-03-01,6
2015-03-08,6
2015-03-15,6
2015-03-22,6
2015-03-29,7
2015-04-05,5
2015-04-12,6
2015-04-19,6
2015-04-26,6
2015-05-03,7
2015-05-10,5
2015-05-17,6
2015-05-24,6
2015-05-31,6
2015-06-07,6
2015-06-14,5
2015-06-21,6
2015-06-28,6
2015-07-05,6
2015-07-12,6
2015-07-19,6
2015-07-26,7
2015-08-02,6
2015-08-09,6
2015-08-16,6
2015-08-23,9
2015-08-30,7
2015-09-06,6
2015-09-13,7
2015-09-20,7
2015-09-27,6
2015-10-04,6
2015-10-11,5
2015-10-18,7
2015-10-25,9
2015-11-01,6
2015-11-08,6
2015-11-15,8
2015-11-22,6
2015-11-29,7
2015-12-06,6
2015-12-13,6
2015-12-20,5
2015-12-27,5
2016-01-03,6
2016-01-10,6
2016-01-17,6
2016-01-24,6
2016-01-31,6
2016-02-07,5
2016-02-14,7
2016-02-21,6
2016-02-28,6
2016-03-06,6
2016-03-13,5
2016-03-20,5
2016-03-27,8
2016-04-03,6
2016-04-10,6
2016-04-17,6
2016-04-24,6
2016-05-01,6
2016-05-08,6
2016-05-15,6
2016-05-22,6
2016-05-29,5
2016-06-05,5
2016-06-12,6
2016-06-19,6
2016-06-26,6
2016-07-03,7
2016-07-10,7
2016-07-17,8
2016-07-24,8
2016-07-31,7
2016-08-07,8
2016-08-14,6
2016-08-21,6
2016-08-28,6
2016-09-04,6
2016-09-11,6
2016-09-18,7
2016-09-25,7
2016-10-02,9
2016-10-09,9
2016-10-16,8
2016-10-23,9
2016-10-30,12
2016-11-06,16
2016-11-13,57
2016-11-20,50
2016-11-27,40
2016-12-04,70
2016-12-11,65
2016-12-18,40
2016-12-25,35
2017-01-01,33
2017-01-08,100
2017-01-15,58
2017-01-22,65
2017-01-29,68
2017-02-05,68
2017-02-12,83
2017-02-19,83
2017-02-26,60
2017-03-05,52
2017-03-12,51
2017-03-19,52
2017-03-26,57
2017-04-02,48
2017-04-09,44
2017-04-16,41
2017-04-23,45
2017-04-30,48
